open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1646092800000,0.05207000,0.05448000,0.05114000,0.05291000,1154190067.30000000,1646179199999,60898338.35603800,209074,568293688.60000000,29988080.84039200,0
1646179200000,0.05292000,0.05404000,0.05120000,0.05296000,952686557.70000000,1646265599999,50154732.79967000,172906,463314540.60000000,24398039.32413200,0
1646265600000,0.05296000,0.05729000,0.05163000,0.05459000,1759743936.50000000,1646351999999,95811737.90402500,318219,864871038.90000000,47095344.85607200,0
1646352000000,0.05458000,0.05527000,0.04819000,0.04911000,1268902685.80000000,1646438399999,65237624.67192100,188504,626440620.70000000,32158784.52186100,0
1646438400000,0.04911000,0.05085000,0.04751000,0.05039000,699894130.50000000,1646524799999,34631137.26874400,101342,351336181.30000000,17378326.06496900,0
1646524800000,0.05039000,0.05089000,0.04718000,0.04768000,738669601.80000000,1646611199999,36245573.42241100,103331,346177665.20000000,16980327.03339200,0
1646611200000,0.04768000,0.04897000,0.04467000,0.04596000,1097901022.30000000,1646697599999,51384250.17864200,142035,546453181.60000000,25576107.01632800,0
1646697600000,0.04596000,0.04759000,0.04540000,0.04660000,820321280.40000000,1646783999999,38147824.78191000,111036,406290398.50000000,18893146.47243300,0
1646784000000,0.04661000,0.04998000,0.04650000,0.04852000,1012199119.90000000,1646870399999,49391150.33914100,126224,513300205.00000000,25049069.14977000,0
1646870400000,0.04851000,0.04881000,0.04522000,0.04696000,905492618.10000000,1646956799999,42104660.39723600,123106,469544725.00000000,21824762.71394200,0
1646956800000,0.04696000,0.04857000,0.04536000,0.04622000,694782807.30000000,1647043199999,32630348.73180000,95745,329460178.40000000,15464670.38940100,0
1647043200000,0.04622000,0.04748000,0.04613000,0.04625000,426772621.90000000,1647129599999,19967687.47449800,56096,204719523.10000000,9579902.10335300,0
1647129600000,0.04624000,0.04716000,0.04406000,0.04454000,604691159.60000000,1647215999999,27767297.98730300,77915,299424792.80000000,13741856.29036700,0
1647216000000,0.04454000,0.04618000,0.04428000,0.04582000,689592967.80000000,1647302399999,31217122.59036400,81906,347864185.50000000,15742841.96112600,0
1647302400000,0.04583000,0.04663000,0.04423000,0.04585000,592642684.90000000,1647388799999,26953200.13358500,78265,292213276.80000000,13287677.75603800,0
1647388800000,0.04586000,0.04861000,0.04544000,0.04831000,921310942.20000000,1647475199999,43142399.85025900,141710,459676158.90000000,21526892.54322300,0
1647475200000,0.04830000,0.04975000,0.04764000,0.04835000,578314408.00000000,1647561599999,28119803.99666200,80988,290392659.40000000,14122565.92478000,0
1647561600000,0.04835000,0.04990000,0.04706000,0.04946000,472606185.70000000,1647647999999,22863478.86361100,70950,235492786.30000000,11398607.85058900,0
1647648000000,0.04947000,0.05172000,0.04947000,0.05129000,601724911.30000000,1647734399999,30451259.47195100,93950,290613365.20000000,14707096.91345100,0
1647734400000,0.05127000,0.05280000,0.04882000,0.04998000,647772848.00000000,1647820799999,32886511.64669600,113867,316950059.60000000,16093723.91044900,0
1647820800000,0.04998000,0.05196000,0.04876000,0.05063000,667660446.90000000,1647907199999,33796614.62713000,90891,324894135.40000000,16446456.47061900,0
1647907200000,0.05061000,0.05388000,0.05039000,0.05320000,827374172.50000000,1647993599999,43541291.44736700,131561,411182383.30000000,21636101.71907300,0
1647993600000,0.05324000,0.05618000,0.05262000,0.05596000,870086753.10000000,1648079999999,47337952.62829400,159701,432797495.20000000,23550018.29624100,0
1648080000000,0.05597000,0.05843000,0.05497000,0.05757000,888478221.60000000,1648166399999,50777123.46651000,170385,449507536.00000000,25692714.49386800,0
1648166400000,0.05756000,0.05898000,0.05497000,0.05562000,786622526.80000000,1648252799999,44983416.94502200,160965,382362956.30000000,21877496.51948200,0
1648252800000,0.05562000,0.06569000,0.05541000,0.06436000,1293081323.10000000,1648339199999,78941653.90257400,357397,675378082.00000000,41188888.75201500,0
1648339200000,0.06437000,0.08004000,0.06334000,0.07471000,5634023601.70000000,1648425599999,405187203.66735000,1618845,2819484829.70000000,202881704.56178500,0
1648425600000,0.07470000,0.08161000,0.07000000,0.07091000,3308808087.80000000,1648511999999,253275503.11121900,925937,1619274082.10000000,124059624.92049000,0
1648512000000,0.07091000,0.07521000,0.07027000,0.07246000,1249307958.10000000,1648598399999,91202101.82392600,309641,612481983.50000000,44728571.19376000,0
1648598400000,0.07245000,0.08733000,0.06863000,0.08522000,4039022065.40000000,1648684799999,328378378.38883800,1268452,2057330695.40000000,167367653.14716300,0
1648684800000,0.08522000,0.08936000,0.07617000,0.07803000,2695162967.00000000,1648771199999,224278423.18003300,792262,1335840989.20000000,111299678.75626400,0
1648771200000,0.07802000,0.08307000,0.07464000,0.08108000,1695859715.30000000,1648857599999,135190267.21162900,474757,846260866.10000000,67521368.50266000,0
1648857600000,0.08107000,0.08374000,0.07661000,0.07716000,1057700428.60000000,1648943999999,85097046.41117900,298989,521916556.60000000,42000155.59933100,0
1648944000000,0.07715000,0.08295000,0.07500000,0.08262000,850702192.50000000,1649030399999,67232715.34925300,225718,414796871.20000000,32809141.58075200,0
1649030400000,0.08260000,0.08288000,0.07435000,0.07890000,977661454.60000000,1649116799999,76774855.88506600,249455,467857015.30000000,36721393.40520700,0
1649116800000,0.07892000,0.08071000,0.07566000,0.07584000,669699103.10000000,1649203199999,52636266.49826500,197532,314402785.20000000,24693034.28731800,0
1649203200000,0.07589000,0.07627000,0.06527000,0.06582000,1325449255.90000000,1649289599999,93178176.74034600,332107,643032109.20000000,45185605.11809500,0
1649289600000,0.06582000,0.07089000,0.06482000,0.07026000,742906115.00000000,1649375999999,50993663.63976900,202193,370530303.20000000,25438097.68952300,0
1649376000000,0.07025000,0.07199000,0.06409000,0.06475000,739241897.20000000,1649462399999,50331619.32601100,182824,333541684.00000000,22716421.13461400,0
1649462400000,0.06476000,0.06742000,0.06432000,0.06710000,403993781.70000000,1649548799999,26596990.41271100,86767,203923608.60000000,13427821.37737700,0
1649548800000,0.06712000,0.06850000,0.06461000,0.06492000,442055062.60000000,1649635199999,29382241.49432100,98184,213698994.10000000,14199465.72159300,0
1649635200000,0.06489000,0.06566000,0.05683000,0.05776000,953544184.40000000,1649721599999,58154731.36859200,190281,452027577.00000000,27542709.60864100,0
1649721600000,0.05774000,0.06199000,0.05721000,0.06023000,810806207.40000000,1649807999999,48282470.92387200,167841,396051244.30000000,23585522.75469800,0
1649808000000,0.06025000,0.06222000,0.05864000,0.06154000,629196230.90000000,1649894399999,38121949.08846900,122974,327689864.30000000,19863021.25073200,0
1649894400000,0.06154000,0.06390000,0.05938000,0.06139000,783302349.10000000,1649980799999,48488650.25707900,178151,394883235.10000000,24450271.73509400,0
